appid,name,date,price,score,bucket,missed_savings_pct
504230,Celeste,2026-03-18,899.0,77.484366117112,Good Value,74.972191323693
504230,Celeste,2026-03-19,225.0,90.72727610478155,Excellent Buy,-100.0
504230,Celeste,2026-03-26,899.0,77.484366117112,Good Value,0.0
221100,DayZ,2024-05-27,3499.0,62.33922372988325,Fair Deal,50.01428979708488
221100,DayZ,2024-06-27,1749.0,88.86740532195077,Excellent Buy,-45.79759862778731
221100,DayZ,2024-07-11,3499.0,64.79195289499509,Fair Deal,27.122034867104887
221100,DayZ,2024-07-19,2550.0,65.9919528949951,Fair Deal,31.411764705882355
221100,DayZ,2024-07-26,3499.0,64.79195289499509,Fair Deal,50.01428979708488
221100,DayZ,2024-09-12,1749.0,90.54422243109668,Excellent Buy,12.864493996569468
221100,DayZ,2024-09-19,3499.0,64.69806858494283,Fair Deal,56.444698485281506
221100,DayZ,2024-09-19,3149.0,64.69806858494283,Fair Deal,51.603683709114
221100,DayZ,2024-09-20,3499.0,64.69806858494283,Fair Deal,56.444698485281506
221100,DayZ,2024-10-15,2399.0,66.194301994302,Fair Deal,36.473530637765734
221100,DayZ,2024-10-28,1524.0,88.34814814814814,Excellent Buy,-14.763779527559054
221100,DayZ,2024-10-29,1749.0,81.96840131270511,Good Value,0.0
221100,DayZ,2024-11-04,3499.0,51.59946949602123,Wait a Bit,50.01428979708488
221100,DayZ,2024-11-27,1749.0,79.39693785045161,Good Value,0.0
221100,DayZ,2024-12-04,3499.0,60.81738035264484,Fair Deal,50.01428979708488
221100,DayZ,2024-12-09,1749.0,82.4376335172018,Good Value,0.0
221100,DayZ,2024-12-16,3499.0,60.81738035264484,Fair Deal,50.01428979708488
221100,DayZ,2024-12-20,1749.0,82.4376335172018,Good Value,0.0
221100,DayZ,2025-01-03,3499.0,63.06125574272588,Fair Deal,50.01428979708488
221100,DayZ,2025-02-12,1749.0,83.62741033604279,Good Value,0.0
221100,DayZ,2025-02-26,3499.0,62.00715717148583,Fair Deal,50.01428979708488
221100,DayZ,2025-03-13,1749.0,83.40540941455697,Good Value,0.0
221100,DayZ,2025-03-20,3499.0,61.78515625000001,Fair Deal,50.01428979708488
221100,DayZ,2025-04-15,1749.0,84.88449006660707,Avoid,0.0
221100,DayZ,2025-04-25,3499.0,63.264236902050115,Fair Deal,50.01428979708488
221100,DayZ,2025-05-26,1749.0,84.80582017486624,Avoid,0.0
221100,DayZ,2025-06-02,3499.0,63.26229508196722,Fair Deal,50.01428979708488
221100,DayZ,2025-06-26,1749.0,84.88254824652418,Avoid,0.0
221100,DayZ,2025-06-27,1749.0,84.88254824652418,Avoid,0.0
221100,DayZ,2025-07-10,3499.0,62.25440976933514,Fair Deal,50.01428979708488
221100,DayZ,2025-07-17,1749.0,83.8746629338921,Good Value,0.0
221100,DayZ,2025-07-28,3499.0,62.25440976933514,Fair Deal,50.01428979708488
221100,DayZ,2025-09-11,1749.0,83.12043425836356,Good Value,0.0
221100,DayZ,2025-09-25,3499.0,61.500181093806596,Fair Deal,50.01428979708488
221100,DayZ,2025-09-29,1749.0,83.12043425836356,Good Value,0.0
221100,DayZ,2025-10-06,3499.0,63.17964533538937,Fair Deal,50.01428979708488
221100,DayZ,2025-10-27,1749.0,84.79989849994632,Avoid,10.005717552887363
221100,DayZ,2025-11-03,3499.0,64.33228275551554,Fair Deal,55.01571877679336
221100,DayZ,2025-12-18,1574.0,89.82540495391132,Excellent Buy,-11.118170266836087
221100,DayZ,2026-01-05,3499.0,62.443737441393175,Fair Deal,50.01428979708488
221100,DayZ,2026-02-05,1749.0,84.14160753162122,Avoid,0.0
221100,DayZ,2026-02-19,3499.0,62.52135436706426,Fair Deal,50.01428979708488
221100,DayZ,2026-03-19,1749.0,84.24659840777693,Avoid,-100.0
221100,DayZ,2026-03-26,3499.0,62.62634524321997,Fair Deal,0.0
381210,Dead_by_Daylight,2024-06-17,819.0,52.99801766083979,Wait a Bit,60.07326007326007
381210,Dead_by_Daylight,2024-06-27,327.0,88.99801766083979,Excellent Buy,0.0
381210,Dead_by_Daylight,2024-07-11,819.0,59.96453668900147,Fair Deal,60.07326007326007
381210,Dead_by_Daylight,2024-07-25,327.0,87.96453668900148,Excellent Buy,-100.0
381210,Dead_by_Daylight,2024-08-08,819.0,59.43741872561768,Fair Deal,-41.514041514041516
381210,Dead_by_Daylight,2024-09-11,1159.0,51.48099092469954,Wait a Bit,60.05176876617774
381210,Dead_by_Daylight,2024-10-20,463.0,76.28076923076924,Good Value,0.0
381210,Dead_by_Daylight,2024-11-03,1159.0,63.49755501222494,Fair Deal,65.05608283002589
381210,Dead_by_Daylight,2024-11-27,463.0,82.34370885837879,Good Value,12.526997840172784
381210,Dead_by_Daylight,2024-12-04,1159.0,61.009789924536,Fair Deal,65.05608283002589
381210,Dead_by_Daylight,2024-12-20,405.0,83.759789924536,Good Value,-14.320987654320987
381210,Dead_by_Daylight,2025-01-03,1159.0,20.54095302696286,Avoid,60.05176876617774
381210,Dead_by_Daylight,2025-02-10,463.0,72.93864612174472,Good Value,0.0
381210,Dead_by_Daylight,2025-02-24,1159.0,48.70787689097549,Wait a Bit,60.05176876617774
381210,Dead_by_Daylight,2025-03-13,463.0,76.1629329734593,Good Value,0.0
381210,Dead_by_Daylight,2025-03-20,1159.0,51.932163742690065,Wait a Bit,60.05176876617774
381210,Dead_by_Daylight,2025-04-02,463.0,74.84063554596412,Good Value,-100.0
381210,Dead_by_Daylight,2025-06-17,695.0,63.32588165555548,Fair Deal,33.38129496402878
381210,Dead_by_Daylight,2025-06-17,463.0,78.94126627094009,Good Value,0.0
381210,Dead_by_Daylight,2025-06-27,463.0,78.94126627094009,Good Value,0.0
